"filename", "language", "C++", "comment", "blank", "total"
"/Users/donti/Desktop/stelleron/mage-engine/source/Main.cpp", "C++", 27, 4, 5, 36
"/Users/donti/Desktop/stelleron/mage-engine/source/Main.hpp", "C++", 8, 0, 1, 9
"/Users/donti/Desktop/stelleron/mage-engine/source/frontend/Arguments.cpp", "C++", 110, 12, 9, 131
"/Users/donti/Desktop/stelleron/mage-engine/source/frontend/Arguments.hpp", "C++", 13, 2, 2, 17
"/Users/donti/Desktop/stelleron/mage-engine/source/frontend/Frontend.cpp", "C++", 161, 37, 17, 215
"/Users/donti/Desktop/stelleron/mage-engine/source/frontend/Frontend.hpp", "C++", 44, 6, 6, 56
"/Users/donti/Desktop/stelleron/mage-engine/source/frontend/WrenAPI.cpp", "C++", 190, 2, 4, 196
"/Users/donti/Desktop/stelleron/mage-engine/source/frontend/WrenAPI.hpp", "C++", 68, 9, 5, 82
"/Users/donti/Desktop/stelleron/mage-engine/source/utils/Base.hpp", "C++", 4, 0, 0, 4
"/Users/donti/Desktop/stelleron/mage-engine/source/utils/DebugTools.cpp", "C++", 24, 0, 5, 29
"/Users/donti/Desktop/stelleron/mage-engine/source/utils/DebugTools.hpp", "C++", 48, 5, 8, 61
"/Users/donti/Desktop/stelleron/mage-engine/source/utils/FileSys.cpp", "C++", 116, 6, 13, 135
"/Users/donti/Desktop/stelleron/mage-engine/source/utils/FileSys.hpp", "C++", 26, 11, 1, 38
"/Users/donti/Desktop/stelleron/mage-engine/source/utils/Timer.cpp", "C++", 15, 0, 3, 18
"/Users/donti/Desktop/stelleron/mage-engine/source/utils/Timer.hpp", "C++", 15, 1, 2, 18
"Total", "-", 869, 95, 81, 1045